date,value
"2024-09-17",911.61
"2024-09-18",911.61
"2024-09-19",911.61
"2024-09-20",911.61
"2024-09-21",911.6
"2024-09-22",911.61
"2024-09-23",911.61
"2024-09-24",911.61
"2024-09-25",911.62
"2024-09-26",911.62
"2024-09-27",911.62
"2024-09-28",911.62
"2024-09-29",911.62
"2024-09-30",911.62
"2024-10-01",917.85
"2024-10-02",917.85
"2024-10-03",917.85
"2024-10-04",917.85
"2024-10-05",917.85
"2024-10-06",917.85
"2024-10-07",917.85
"2024-10-08",917.85
"2024-10-09",917.85
"2024-10-10",917.85
"2024-10-11",917.85
"2024-10-12",917.85
"2024-10-13",917.85
"2024-10-14",917.85
"2024-10-15",917.85
"2024-10-16",917.85
"2024-10-17",917.85
"2024-10-18",917.85
"2024-10-19",917.85
"2024-10-20",917.85
"2024-10-21",917.85
"2024-10-22",917.85
"2024-10-23",917.85
"2024-10-24",917.85
"2024-10-25",917.85
"2024-10-26",917.85
"2024-10-27",917.85
"2024-10-28",917.85
"2024-10-29",917.85
"2024-10-30",917.85
"2024-10-31",917.85
"2024-11-01",918.49
"2024-11-02",918.49
"2024-11-03",918.49
"2024-11-04",918.49
"2024-11-05",918.49
"2024-11-06",918.49
"2024-11-07",918.49
"2024-11-08",918.49
"2024-11-09",918.49
"2024-11-10",918.49
"2024-11-11",918.49
"2024-11-12",918.49
"2024-11-13",918.49
"2024-11-14",918.49
"2024-11-15",918.49
"2024-11-16",918.49
"2024-11-17",918.49
"2024-11-18",918.49
"2024-11-19",918.49
"2024-11-20",918.49
"2024-11-21",918.49
"2024-11-22",918.49
"2024-11-23",918.49
"2024-11-24",918.49
"2024-11-25",918.49
"2024-11-26",918.49
"2024-11-27",918.49
"2024-11-28",918.49
"2024-11-29",918.49
"2024-11-30",918.49
"2024-12-01",928.35
"2024-12-02",928.35
"2024-12-03",928.35
"2024-12-04",928.35
"2024-12-05",928.35
"2024-12-06",928.35
"2024-12-07",928.35
"2024-12-08",928.35
"2024-12-09",928.35
"2024-12-10",928.35
"2024-12-11",928.35
"2024-12-12",928.35
"2024-12-13",928.35
"2024-12-14",928.35
"2024-12-15",928.35
"2024-12-16",928.35
"2024-12-17",928.35
"2024-12-18",928.35
"2024-12-19",928.35
"2024-12-20",928.35
"2024-12-21",928.35
"2024-12-22",928.35
"2024-12-23",928.35
"2024-12-24",928.35
"2024-12-25",928.35
"2024-12-26",928.35
"2024-12-27",928.35
"2024-12-28",928.35
"2024-12-29",928.35
"2024-12-30",928.35
"2024-12-31",928.35
"2025-01-01",930.69
"2025-01-02",930.69
"2025-01-03",930.69
"2025-01-04",930.69
"2025-01-05",930.69
"2025-01-06",930.69
"2025-01-07",930.69
"2025-01-08",930.69
"2025-01-09",930.69
"2025-01-10",930.69
"2025-01-11",930.69
"2025-01-12",930.69
"2025-01-13",930.69
"2025-01-14",930.69
"2025-01-15",930.69
"2025-01-16",930.69
"2025-01-17",930.69
"2025-01-18",930.69
"2025-01-19",930.69
"2025-01-20",930.69
"2025-01-21",930.69
"2025-01-22",930.69
"2025-01-23",930.69
"2025-01-24",930.69
"2025-01-25",930.69
"2025-01-26",930.69
"2025-01-27",930.69
"2025-01-28",930.69
"2025-01-29",930.69
"2025-01-30",930.69
"2025-01-31",930.69
"2025-02-01",946.47
"2025-02-02",946.47
"2025-02-03",946.47
"2025-02-04",946.47
"2025-02-05",946.47
"2025-02-06",946.47
"2025-02-07",946.47
"2025-02-08",946.47
"2025-02-09",946.47
"2025-02-10",946.47
"2025-02-11",946.47
"2025-02-12",946.47
"2025-02-13",946.47
"2025-02-14",946.47
"2025-02-15",946.47
"2025-02-16",946.47
"2025-02-17",946.47
"2025-02-18",946.47
"2025-02-19",946.47
"2025-02-20",946.47
"2025-02-21",946.47
"2025-02-22",946.47
"2025-02-23",946.47
"2025-02-24",946.47
"2025-02-25",946.47
"2025-02-26",946.47
"2025-02-27",946.47
"2025-02-28",946.47
"2025-03-01",914.54
"2025-03-02",914.54
"2025-03-03",914.54
"2025-03-04",914.54
"2025-03-05",914.54
"2025-03-06",914.54
"2025-03-07",914.54
"2025-03-08",914.54
"2025-03-09",914.54
"2025-03-10",914.54
"2025-03-11",914.54
"2025-03-12",914.54
"2025-03-13",914.54
"2025-03-14",914.54
"2025-03-15",914.54
"2025-03-16",914.54
"2025-03-17",914.54
"2025-03-18",914.54
"2025-03-19",914.54
"2025-03-20",914.54
"2025-03-21",914.54
"2025-03-22",914.54
"2025-03-23",914.54
"2025-03-24",914.54
"2025-03-25",914.54
"2025-03-26",914.54
"2025-03-27",914.54
"2025-03-28",914.54
"2025-03-29",914.54
"2025-03-30",914.54
"2025-03-31",914.54
"2025-04-01",902.59
"2025-04-02",902.59
"2025-04-03",902.59
"2025-04-04",902.59
"2025-04-05",902.59
"2025-04-06",902.59
"2025-04-07",902.59
"2025-04-08",902.59
